tag_id,date,time,longitude,latitude,species,sex,nest_id,est_fledge_date,notes
1978611E,2022-06-08,12:55,-78.112427,38.980735,EAME,U,FFE5F99F,,
55613319,2022-05-28,8:42,-78.1122689,38.9793415,EAME,U,OC45B275,,
66191E4C,2022-06-08,12:55,-78.112427,38.980735,EAME,U,FFE5F99F,,
2A2D4B1E,2022-06-22,18:34,-78.119254,38.979265,AMKE,M,,2022-06-26,fledged in morning
2D2D6152,2022-06-22,18:34,-78.119254,38.979265,AMKE,F,,2022-06-27,fledged near 4pm
552A2A55,2022-07-01,10:20,-78.11522,38.98245,AMKE,F,,2022-07-04,age 25 at capture
1E331E33,2022-07-01,10:20,-78.11522,38.98245,AMKE,M,,2022-07-04,age 26 at capture
2A074C4C,2022-07-01,10:20,-78.11522,38.98245,AMKE,M,,2022-07-04,age 25 at capture
33551E2A,2022-07-01,10:20,-78.11522,38.98245,AMKE,M,,2022-07-04,age 26 at capture
522D5252,2022-07-01,10:20,-78.11522,38.98245,AMKE,M,,2022-07-04,age 25 at capture
55554B4C,2022-07-07,9:32,-78.120282,38.975595,BOBO,U,,2022-07-07,Fledged young from frog field
1E614C07,2022-07-12,12:44,-78.119621,38.976333,BOBO,U,6514B09B,2022-07-12,
2A342D1E,2022-07-12,12:44,-78.119621,38.976333,BOBO,U,6514B09B,2022-07-12,
6666344C,2022-07-25,13:45,,,EAME,U,,,
19611933,2022-07-25,13:45,,,EAME,U,,,
192D2D4B,2023-05-24,12:20,-78.11285,38.978805,EAME,U,A14259821,,
1E342D61,2023-05-24,12:20,-78.11285,38.978805,EAME,U,A14259821,,
611E5219,2023-05-24,12:20,-78.11285,38.978805,EAME,U,A14259821,,
66667855,2023-05-24,14:55,-78.120786,38.976773,EAME,U,058A6F25,,
34616633,2023-05-24,14:55,-78.120786,38.976773,EAME,U,058A6F25,,
55616107,2023-05-24,14:55,-78.120786,38.976773,EAME,U,058A6F25,,